athlete_id,first_name,last_name,sport,athletic_year,season,division,gender,conference,school,position_raw,position_group,class_year_raw,class_standing,hometown_raw,hometown_city,hometown_state,origin,high_school,high_school_is_academy,source_url
bw_7a7fb9d363ed,Tara,Kuster,bowling,2025-26,2025-26,D2,Women,Conference Carolinas,Belmont Abbey,,Bowler,Jr.,Jr,"Virginia Beach, Va.",Virginia Beach,VA,domestic,Tallwood,0,https://abbeyathletics.com/sports/womens-bowling/roster/2025-26
bw_a7f93cdd2794,Aubrey,Lloyd,bowling,2025-26,2025-26,D2,Women,Conference Carolinas,Belmont Abbey,,Bowler,Sr.,Sr,"Egg Harbor Township, N.J.",Egg Harbor Township,NJ,domestic,Egg Harbor Township,0,https://abbeyathletics.com/sports/womens-bowling/roster/2025-26
bw_64bf68369812,Kiersten,Michel,bowling,2025-26,2025-26,D2,Women,Conference Carolinas,Belmont Abbey,,Bowler,Jr.,Jr,"Chesapeake, Va.",Chesapeake,VA,domestic,Western Branch/Norfolk State,0,https://abbeyathletics.com/sports/womens-bowling/roster/2025-26
bw_d3342e474f24,Ayzia,Miller,bowling,2025-26,2025-26,D2,Women,Conference Carolinas,Belmont Abbey,,Bowler,So.,So,"Falls Church, Va.",Falls Church,VA,domestic,Justice,0,https://abbeyathletics.com/sports/womens-bowling/roster/2025-26
bw_2bc112880769,Laney,Sasso,bowling,2025-26,2025-26,D2,Women,Conference Carolinas,Belmont Abbey,,Bowler,Jr.,Jr,"Marrero, La.",Marrero,LA,domestic,Academy of Our Lady,1,https://abbeyathletics.com/sports/womens-bowling/roster/2025-26
bw_afa04c23e25f,Alexis,Tignor,bowling,2025-26,2025-26,D2,Women,Conference Carolinas,Belmont Abbey,,Bowler,Fr.,Fr,"Hebron, Ky.",Hebron,KY,domestic,Randall K. Cooper,0,https://abbeyathletics.com/sports/womens-bowling/roster/2025-26
bw_fe2801c52521,Hannah,Whetzel,bowling,2025-26,2025-26,D2,Women,Conference Carolinas,Belmont Abbey,,Bowler,Fr.,Fr,"Port St. Lucie, Fla.",Port St. Lucie,FL,domestic,Jensen Beach,0,https://abbeyathletics.com/sports/womens-bowling/roster/2025-26
bw_47d88bd165a4,Erica,DeJesus,bowling,2025-26,2025-26,D2,Women,Northeast-10 Conference,Adelphi,"5'5""",Bowler,Jr.,Jr,"Levittown, N.Y.",Levittown,NY,domestic,Division Avenue,0,https://aupanthers.com/sports/womens-bowling/roster/2025-26
bw_97a7c5257eae,Marissa,Funk,bowling,2025-26,2025-26,D2,Women,Northeast-10 Conference,Adelphi,"5'3""",Bowler,Fr.,Fr,"Youngstown, Ohio",Youngstown,OH,domestic,Boardman,0,https://aupanthers.com/sports/womens-bowling/roster/2025-26
bw_696aef5576cb,Giana,Giampapa,bowling,2025-26,2025-26,D2,Women,Northeast-10 Conference,Adelphi,"5'0""",Bowler,Sr.,Sr,"Douglaston, N.Y.",Douglaston,NY,domestic,St. Francis Prep,1,https://aupanthers.com/sports/womens-bowling/roster/2025-26
bw_21522c13f61c,Arianne,Guaman,bowling,2025-26,2025-26,D2,Women,Northeast-10 Conference,Adelphi,"5'1""",Bowler,So.,So,"Elmhurst, N.Y.",Elmhurst,NY,domestic,The Young Women's Leadership School,0,https://aupanthers.com/sports/womens-bowling/roster/2025-26
bw_9bf40eb95f6a,Payton,Hoffay,bowling,2025-26,2025-26,D2,Women,Northeast-10 Conference,Adelphi,"5'4""",Bowler,So.,So,"Kingston, N.Y.",Kingston,NY,domestic,Kingston,0,https://aupanthers.com/sports/womens-bowling/roster/2025-26
bw_9cf617862691,Gayle,Lopez,bowling,2025-26,2025-26,D2,Women,Northeast-10 Conference,Adelphi,"5'2""",Bowler,So.,So,"Valley Stream, N.Y.",Valley Stream,NY,domestic,St. Mary's,0,https://aupanthers.com/sports/womens-bowling/roster/2025-26
bw_aa1e38ac2159,Jillian,Sanchez,bowling,2025-26,2025-26,D2,Women,Northeast-10 Conference,Adelphi,"5'4""",Bowler,So.,So,"Dix Hills, N.Y.",Dix Hills,NY,domestic,Commack,0,https://aupanthers.com/sports/womens-bowling/roster/2025-26
